Ticker,Date,Current_Value,Previous_Value,Previous_Date,Difference_Num,Difference_Pct,Check_Type,Threshold_Applied,Direction
DJCA,2016-01-13,5562.21,5689.59,2016-01-12,-127.38,-0.0224,DoD,0.01,down
DJCA,2016-01-14,5637.5,5562.21,2016-01-13,75.29,0.0135,DoD,0.01,up
DJCA,2016-01-15,5529.86,5637.5,2016-01-14,-107.64,-0.0191,DoD,0.01,down
DJCA,2016-01-20,5466.87,5543.56,2016-01-19,-76.69,-0.0138,DoD,0.01,down
DJCA,2016-01-22,5580.42,5502.74,2016-01-21,77.68,0.0141,DoD,0.01,up
DJCA,2016-01-25,5503.92,5580.42,2016-01-22,-76.5,-0.0137,DoD,0.01,down
DJCA,2016-01-26,5601.67,5503.92,2016-01-25,97.75,0.0178,DoD,0.01,up
DJCA,2016-01-29,5717.76,5575.97,2016-01-28,141.79,0.0254,DoD,0.01,up
DJCA,2016-02-02,5638.32,5736.46,2016-02-01,-98.14,-0.0171,DoD,0.01,down
DJCA,2016-02-03,5702.59,5638.32,2016-02-02,64.27,0.0114,DoD,0.01,up
DJCA,2016-02-05,5697.23,5757.55,2016-02-04,-60.32,-0.0105,DoD,0.01,down
DJCA,2016-02-11,5561.05,5652.32,2016-02-10,-91.27,-0.0161,DoD,0.01,down
DJCA,2016-02-12,5652.48,5561.05,2016-02-11,91.43,0.0164,DoD,0.01,up
DJCA,2016-02-16,5736.69,5652.48,2016-02-12,84.21,0.0149,DoD,0.01,up
DJCA,2016-02-17,5807.81,5736.69,2016-02-16,71.12,0.0124,DoD,0.01,up
DJCA,2016-02-22,5884.35,5798.1,2016-02-19,86.25,0.0149,DoD,0.01,up
DJCA,2016-02-25,5907.6,5836.61,2016-02-24,70.99,0.0122,DoD,0.01,up
DJCA,2016-03-01,5936.22,5838.59,2016-02-29,97.63,0.0167,DoD,0.01,up
DJCA,2016-03-11,6093.65,6011.31,2016-03-10,82.34,0.0137,DoD,0.01,up
DJCA,2016-03-17,6230.59,6137.73,2016-03-16,92.86,0.0151,DoD,0.01,up
DJCA,2016-04-13,6305.11,6232.5,2016-04-12,72.61,0.0117,DoD,0.01,up
DJCA,2016-04-21,6288.35,6358.47,2016-04-20,-70.12,-0.011,DoD,0.01,down
DJCA,2016-04-28,6278.92,6351.07,2016-04-27,-72.15,-0.0114,DoD,0.01,down
DJCA,2016-05-10,6289.01,6225.1,2016-05-09,63.91,0.0103,DoD,0.01,up
DJCA,2016-05-11,6223.91,6289.01,2016-05-10,-65.1,-0.0104,DoD,0.01,down
DJCA,2016-05-24,6192.86,6130.66,2016-05-23,62.2,0.0101,DoD,0.01,up
DJCA,2016-06-23,6303.1,6239.65,2016-06-22,63.45,0.0102,DoD,0.01,up
DJCA,2016-06-24,6113.47,6303.1,2016-06-23,-189.63,-0.0301,DoD,0.01,down
DJCA,2016-06-27,6032.37,6113.47,2016-06-24,-81.1,-0.0133,DoD,0.01,down
DJCA,2016-06-28,6123.45,6032.37,2016-06-27,91.08,0.0151,DoD,0.01,up
DJCA,2016-06-29,6216.35,6123.45,2016-06-28,92.9,0.0152,DoD,0.01,up
DJCA,2016-06-30,6303.44,6216.35,2016-06-29,87.09,0.014,DoD,0.01,up
DJCA,2016-07-08,6390.0,6287.87,2016-07-07,102.13,0.0162,DoD,0.01,up
DJCA,2016-09-09,6305.93,6480.56,2016-09-08,-174.63,-0.0269,DoD,0.01,down
DJCA,2016-09-12,6393.84,6305.93,2016-09-09,87.91,0.0139,DoD,0.01,up
DJCA,2016-09-13,6295.99,6393.84,2016-09-12,-97.85,-0.0153,DoD,0.01,down
DJCA,2016-09-21,6430.84,6344.88,2016-09-20,85.96,0.0135,DoD,0.01,up
DJCA,2016-11-07,6463.41,6317.85,2016-11-04,145.56,0.023,DoD,0.01,up
DJCA,2016-12-07,6897.95,6777.2,2016-12-06,120.75,0.0178,DoD,0.01,up
DJCA,2016-12-14,6921.84,6996.05,2016-12-13,-74.21,-0.0106,DoD,0.01,down
DJCA,2017-03-01,7344.46,7260.59,2017-02-28,83.87,0.0116,DoD,0.01,up
DJCA,2017-04-24,7231.27,7151.86,2017-04-21,79.41,0.0111,DoD,0.01,up
DJCA,2017-05-17,7074.06,7205.32,2017-05-16,-131.26,-0.0182,DoD,0.01,down
DJCA,2017-08-17,7436.53,7547.29,2017-08-16,-110.76,-0.0147,DoD,0.01,down
DJCA,2017-09-11,7602.33,7517.12,2017-09-08,85.21,0.0113,DoD,0.01,up
DJCA,2017-11-28,8024.11,7934.05,2017-11-27,90.06,0.0114,DoD,0.01,up
DJCA,2017-11-29,8117.11,8024.11,2017-11-28,93.0,0.0116,DoD,0.01,up
DJCA,2017-11-30,8229.31,8117.11,2017-11-29,112.2,0.0138,DoD,0.01,up
DJCA,2018-01-11,8567.27,8476.36,2018-01-10,90.91,0.0107,DoD,0.01,up
DJCA,2018-01-30,8596.63,8698.19,2018-01-29,-101.56,-0.0117,DoD,0.01,down
DJCA,2018-02-02,8416.29,8603.81,2018-02-01,-187.52,-0.0218,DoD,0.01,down
DJCA,2018-02-05,8096.16,8416.29,2018-02-02,-320.13,-0.038,DoD,0.01,down
DJCA,2018-02-05,8096.16,8698.19,2018-01-29,-602.03,-0.0692,WoW,0.05,down
DJCA,2018-02-06,8226.93,8096.16,2018-02-05,130.77,0.0162,DoD,0.01,up
DJCA,2018-02-08,7918.7,8222.43,2018-02-07,-303.73,-0.0369,DoD,0.01,down
DJCA,2018-02-08,7918.7,8603.81,2018-02-01,-685.11,-0.0796,WoW,0.05,down
DJCA,2018-02-09,7999.61,7918.7,2018-02-08,80.91,0.0102,DoD,0.01,up
DJCA,2018-02-12,8124.88,7999.61,2018-02-09,125.27,0.0157,DoD,0.01,up
DJCA,2018-02-15,8311.04,8212.88,2018-02-14,98.16,0.012,DoD,0.01,up
DJCA,2018-02-20,8214.19,8312.01,2018-02-16,-97.82,-0.0118,DoD,0.01,down
DJCA,2018-02-23,8354.04,8224.59,2018-02-22,129.45,0.0157,DoD,0.01,up
DJCA,2018-02-26,8469.47,8354.04,2018-02-23,115.43,0.0138,DoD,0.01,up
DJCA,2018-02-27,8338.24,8469.47,2018-02-26,-131.23,-0.0155,DoD,0.01,down
DJCA,2018-02-28,8228.28,8338.24,2018-02-27,-109.96,-0.0132,DoD,0.01,down
DJCA,2018-03-01,8135.78,8228.28,2018-02-28,-92.5,-0.0112,DoD,0.01,down
DJCA,2018-03-05,8206.39,8117.68,2018-03-02,88.71,0.0109,DoD,0.01,up
DJCA,2018-03-09,8371.5,8222.44,2018-03-08,149.06,0.0181,DoD,0.01,up
DJCA,2018-03-22,8039.11,8239.51,2018-03-21,-200.4,-0.0243,DoD,0.01,down
DJCA,2018-03-23,7899.6,8039.11,2018-03-22,-139.51,-0.0174,DoD,0.01,down
DJCA,2018-03-23,7899.6,8316.88,2018-03-16,-417.28,-0.0502,WoW,0.05,down
DJCA,2018-03-26,8085.71,7899.6,2018-03-23,186.11,0.0236,DoD,0.01,up
DJCA,2018-03-27,7993.26,8085.71,2018-03-26,-92.45,-0.0114,DoD,0.01,down
DJCA,2018-03-29,8092.53,7991.09,2018-03-28,101.44,0.0127,DoD,0.01,up
DJCA,2018-04-02,7949.36,8092.53,2018-03-29,-143.17,-0.0177,DoD,0.01,down
DJCA,2018-04-03,8072.44,7949.36,2018-04-02,123.08,0.0155,DoD,0.01,up
DJCA,2018-04-06,8003.24,8189.09,2018-04-05,-185.85,-0.0227,DoD,0.01,down
DJCA,2018-04-10,8106.61,8007.48,2018-04-09,99.13,0.0124,DoD,0.01,up
DJCA,2018-04-16,8229.53,8119.73,2018-04-13,109.8,0.0135,DoD,0.01,up
DJCA,2018-04-24,8082.7,8206.17,2018-04-23,-123.47,-0.015,DoD,0.01,down
DJCA,2018-05-04,8137.33,8042.09,2018-05-03,95.24,0.0118,DoD,0.01,up
DJCA,2018-05-21,8337.96,8241.92,2018-05-18,96.04,0.0117,DoD,0.01,up
DJCA,2018-05-29,8216.47,8323.08,2018-05-25,-106.61,-0.0128,DoD,0.01,down
DJCA,2018-05-30,8319.06,8216.47,2018-05-29,102.59,0.0125,DoD,0.01,up
DJCA,2018-05-31,8234.53,8319.06,2018-05-30,-84.53,-0.0102,DoD,0.01,down
DJCA,2018-06-25,8174.29,8273.77,2018-06-22,-99.48,-0.012,DoD,0.01,down
DJCA,2018-07-25,8496.04,8408.85,2018-07-24,87.19,0.0104,DoD,0.01,up
DJCA,2018-08-16,8628.38,8520.47,2018-08-15,107.91,0.0127,DoD,0.01,up
DJCA,2018-10-10,8495.34,8759.21,2018-10-09,-263.87,-0.0301,DoD,0.01,down
DJCA,2018-10-11,8328.92,8495.34,2018-10-10,-166.42,-0.0196,DoD,0.01,down
DJCA,2018-10-11,8328.92,8828.42,2018-10-04,-499.5,-0.0566,WoW,0.05,down
DJCA,2018-10-16,8568.52,8406.28,2018-10-15,162.24,0.0193,DoD,0.01,up
DJCA,2018-10-18,8413.1,8535.07,2018-10-17,-121.97,-0.0143,DoD,0.01,down
DJCA,2018-10-24,8181.6,8344.0,2018-10-23,-162.4,-0.0195,DoD,0.01,down
DJCA,2018-10-25,8281.23,8181.6,2018-10-24,99.63,0.0122,DoD,0.01,up
DJCA,2018-10-26,8175.23,8281.23,2018-10-25,-106.0,-0.0128,DoD,0.01,down
DJCA,2018-10-30,8278.31,8129.97,2018-10-29,148.34,0.0182,DoD,0.01,up
DJCA,2018-11-07,8656.47,8486.78,2018-11-06,169.69,0.02,DoD,0.01,up
